date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
06/01/2020 17:45,1.31608,1.31586,1.31619,1.31558,1.31622,1.31601,1.31632,1.3157,2824
06/01/2020 18:00,1.31586,1.31609,1.31644,1.31582,1.31601,1.31625,1.31657,1.31596,2244
06/01/2020 18:15,1.31609,1.31644,1.31672,1.31598,1.31625,1.31654,1.31686,1.31611,2137
06/01/2020 18:30,1.31644,1.31658,1.31661,1.31628,1.31654,1.31673,1.31674,1.3164,1413
06/01/2020 18:45,1.31658,1.31571,1.31661,1.31571,1.31673,1.31586,1.31676,1.31586,1757
06/01/2020 19:00,1.31571,1.31566,1.31604,1.31554,1.31586,1.31579,1.31617,1.31567,2358
06/01/2020 19:15,1.31566,1.31608,1.31608,1.31549,1.31579,1.31618,1.31619,1.3156,1427
06/01/2020 19:30,1.31608,1.31583,1.31608,1.31552,1.31618,1.31598,1.3162,1.31565,1388
06/01/2020 19:45,1.31583,1.31624,1.31638,1.3157,1.31598,1.3164,1.31651,1.31583,1937
06/01/2020 20:00,1.31624,1.31623,1.31629,1.31593,1.3164,1.3164,1.31644,1.31608,1387
06/01/2020 20:15,1.31623,1.3161,1.31641,1.31605,1.3164,1.31623,1.31653,1.31619,1265
06/01/2020 20:30,1.3161,1.31617,1.31618,1.31587,1.31623,1.3163,1.3163,1.31599,887
06/01/2020 20:45,1.31617,1.31657,1.3167,1.31594,1.3163,1.31669,1.31685,1.3161,1573
06/01/2020 21:00,1.31657,1.31648,1.31659,1.31638,1.31669,1.31658,1.31672,1.31645,575
06/01/2020 21:15,1.31648,1.31665,1.31665,1.31638,1.31658,1.31673,1.31681,1.31649,674
