,date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
87,03/01/2020 04:30,1.31362,1.31352,1.31369,1.31338,1.31379,1.3136299999999999,1.31385,1.31351,1254
88,03/01/2020 04:45,1.31352,1.31254,1.31352,1.3124,1.3136299999999999,1.3126799999999998,1.3136700000000001,1.31257,1999
89,03/01/2020 05:00,1.31254,1.3119299999999998,1.31287,1.31174,1.3126799999999998,1.31209,1.31301,1.31189,2117
90,03/01/2020 05:15,1.3119299999999998,1.31174,1.31206,1.31152,1.31209,1.31186,1.3122,1.31168,1309
91,03/01/2020 05:30,1.31174,1.31224,1.3125799999999999,1.31161,1.31186,1.3123799999999999,1.31271,1.31178,1811
92,03/01/2020 05:45,1.31224,1.31206,1.31249,1.31197,1.3123799999999999,1.3122,1.31264,1.31211,1235
93,03/01/2020 06:00,1.31206,1.31074,1.31209,1.31041,1.3122,1.31093,1.31223,1.31059,2903
94,03/01/2020 06:15,1.31074,1.3111899999999999,1.31165,1.3106799999999998,1.31093,1.31131,1.3118299999999998,1.31084,2084
95,03/01/2020 06:30,1.3111899999999999,1.31174,1.31198,1.31097,1.31131,1.3119100000000001,1.31213,1.31115,951
96,03/01/2020 06:45,1.31174,1.31227,1.31231,1.31166,1.3119100000000001,1.31245,1.3125200000000001,1.3118,1009
97,03/01/2020 07:00,1.31227,1.31134,1.31229,1.31132,1.31245,1.3115,1.31246,1.31145,3897
98,03/01/2020 07:15,1.31134,1.31063,1.31146,1.31009,1.3115,1.3108,1.3116299999999999,1.31027,4051
99,03/01/2020 07:30,1.31063,1.30968,1.31097,1.30955,1.3108,1.3098299999999998,1.3111,1.30969,4569
100,03/01/2020 07:45,1.30968,1.3090899999999999,1.30974,1.30821,1.3098299999999998,1.30924,1.30988,1.30837,7854
101,03/01/2020 08:00,1.3090899999999999,1.3096299999999998,1.30984,1.3086,1.30924,1.3098100000000001,1.30997,1.30877,6573
102,03/01/2020 08:15,1.3096299999999998,1.31169,1.3117299999999998,1.3094700000000001,1.3098100000000001,1.31184,1.31188,1.30962,5332
103,03/01/2020 08:30,1.31169,1.31053,1.3117,1.31039,1.31184,1.31071,1.31184,1.3105200000000001,5567
104,03/01/2020 08:45,1.31053,1.30972,1.31059,1.30948,1.31071,1.3099,1.31074,1.30964,4169
105,03/01/2020 09:00,1.30972,1.3087799999999998,1.3100100000000001,1.30872,1.3099,1.30895,1.31016,1.30887,6611
106,03/01/2020 09:15,1.3087799999999998,1.3083799999999999,1.3096,1.3082799999999999,1.30895,1.30859,1.30974,1.3083799999999999,6065
107,03/01/2020 09:30,1.3083799999999999,1.30798,1.3087799999999998,1.30767,1.30859,1.3081399999999999,1.30894,1.3078299999999998,5796
108,03/01/2020 09:45,1.30798,1.30674,1.30813,1.3066200000000001,1.3081399999999999,1.30687,1.30827,1.30674,6115
109,03/01/2020 10:00,1.30674,1.30764,1.30817,1.30673,1.30687,1.30775,1.3083,1.30687,5898
110,03/01/2020 10:15,1.30764,1.30869,1.3087,1.30759,1.30775,1.3088,1.3088600000000001,1.3077299999999998,3722
111,03/01/2020 10:30,1.30869,1.30729,1.30874,1.3069899999999999,1.3088,1.30742,1.30891,1.30712,4371
112,03/01/2020 10:45,1.30729,1.30777,1.30787,1.3070899999999999,1.30742,1.3079399999999999,1.3080100000000001,1.30721,3189
113,03/01/2020 11:00,1.30777,1.3068899999999999,1.3078299999999998,1.30667,1.3079399999999999,1.30705,1.30798,1.30679,3198
114,03/01/2020 11:15,1.3068899999999999,1.3074299999999999,1.3077,1.3066799999999998,1.30705,1.30755,1.30786,1.3068,3535
115,03/01/2020 11:30,1.3074299999999999,1.3058,1.30742,1.30528,1.30755,1.30595,1.30755,1.3054,4673
116,03/01/2020 11:45,1.3058,1.3058299999999998,1.30611,1.3055,1.30595,1.30595,1.30625,1.30564,3481
117,03/01/2020 12:00,1.3058299999999998,1.30564,1.30603,1.30534,1.30595,1.30578,1.30618,1.3054700000000001,3438
118,03/01/2020 12:15,1.30564,1.30637,1.30664,1.30561,1.30578,1.30654,1.3068,1.30576,3320
119,03/01/2020 12:30,1.30637,1.3076,1.30775,1.30631,1.30654,1.30772,1.30788,1.30646,3785
120,03/01/2020 12:45,1.3076,1.30797,1.30817,1.30718,1.30772,1.30811,1.30833,1.30734,3976
121,03/01/2020 13:00,1.30797,1.30964,1.30998,1.30793,1.30811,1.3098100000000001,1.31007,1.30805,4048
122,03/01/2020 13:15,1.30964,1.3091700000000002,1.31092,1.30915,1.3098100000000001,1.30931,1.31108,1.30926,3838
123,03/01/2020 13:30,1.3091700000000002,1.30884,1.30944,1.30851,1.30931,1.3089899999999999,1.30955,1.30866,2258
124,03/01/2020 13:45,1.30884,1.30718,1.30893,1.30714,1.3089899999999999,1.3073,1.30908,1.30728,3462
125,03/01/2020 14:00,1.30718,1.30806,1.3087,1.30679,1.3073,1.3082,1.30884,1.30695,4242
126,03/01/2020 14:15,1.30806,1.30714,1.30891,1.3068,1.3082,1.3072700000000002,1.3090700000000002,1.30697,3753
127,03/01/2020 14:30,1.30714,1.30744,1.30854,1.3068799999999998,1.3072700000000002,1.3076,1.30865,1.30701,4840
128,03/01/2020 14:45,1.30744,1.3069,1.30793,1.30674,1.3076,1.30723,1.30806,1.30691,4398
129,03/01/2020 15:00,1.3069,1.30807,1.30824,1.30685,1.30723,1.3082,1.30836,1.30702,6473
130,03/01/2020 15:15,1.30807,1.30898,1.3093700000000001,1.30771,1.3082,1.30911,1.30951,1.30785,5004
131,03/01/2020 15:30,1.30898,1.30861,1.3093,1.30821,1.30911,1.30877,1.3094299999999999,1.30837,4553
132,03/01/2020 15:45,1.30861,1.30711,1.3088899999999999,1.30698,1.30877,1.30723,1.30904,1.30711,5815
133,03/01/2020 16:00,1.30711,1.30806,1.30824,1.3068799999999998,1.30723,1.30823,1.3083799999999999,1.30702,4273
134,03/01/2020 16:15,1.30806,1.3094700000000001,1.30951,1.3078,1.30823,1.30959,1.30964,1.30796,3008
135,03/01/2020 16:30,1.3094700000000001,1.30969,1.3097299999999998,1.30911,1.30959,1.30984,1.30985,1.30925,3964
136,03/01/2020 16:45,1.30969,1.30892,1.30985,1.30891,1.30984,1.3090600000000001,1.30998,1.30904,3852
137,03/01/2020 17:00,1.30892,1.30869,1.30934,1.30837,1.3090600000000001,1.3088600000000001,1.3094700000000001,1.30849,3977
138,03/01/2020 17:15,1.30869,1.3087,1.30879,1.30798,1.3088600000000001,1.30884,1.30891,1.3081200000000002,3347
139,03/01/2020 17:30,1.3087,1.30851,1.30875,1.30798,1.30884,1.30865,1.3088799999999998,1.30813,3091
140,03/01/2020 17:45,1.30851,1.30877,1.3089899999999999,1.30827,1.30865,1.30892,1.30914,1.3084,3010
141,03/01/2020 18:00,1.30877,1.30855,1.3089600000000001,1.3085200000000001,1.30892,1.3086799999999998,1.3090899999999999,1.30867,2804
